Cushing OK WTI Spot Price FOB Daily,
https://www.eia.gov/opendata/qb.php?sdid=PET.RWTC.D,
21:06:22 GMT-0600 (Mountain Daylight Time),
Source: U.S. Energy Information Administration,
Day,Series ID: PET.RWTC.D Dollars per Barrel
1/31/2017,52.75
1/30/2017,52.63
1/27/2017,53.18
1/26/2017,53.24
1/25/2017,52.14
1/24/2017,52.38
1/23/2017,52.77
1/20/2017,52.33
1/19/2017,51.39
1/18/2017,51.12
1/17/2017,52.45
1/13/2017,52.36
1/12/2017,53.01
1/11/2017,52.19
1/10/2017,50.82
1/9/2017,51.95
1/6/2017,53.98
1/5/2017,53.77
1/4/2017,53.26
1/3/2017,52.36
12/30/2016,53.75
12/29/2016,53.8
12/28/2016,54.01
12/27/2016,52.82
12/23/2016,52.01
12/22/2016,51.98
12/21/2016,51.44
12/20/2016,52.22
12/19/2016,52.13
12/16/2016,51.93
12/15/2016,50.9
12/14/2016,51.01
12/13/2016,52.99
12/12/2016,52.74
12/9/2016,51.51
12/8/2016,50.84
12/7/2016,49.85
12/6/2016,50.95
12/5/2016,51.72
12/2/2016,51.7
12/1/2016,51.08
11/30/2016,49.41
11/29/2016,45.29
11/28/2016,45.66
11/25/2016,46.72
11/23/2016,46.72
11/22/2016,48.07
11/21/2016,47.48
11/18/2016,45.69
11/17/2016,45.37
11/16/2016,45.56
11/15/2016,45.86
11/14/2016,43.29
11/11/2016,43.39
11/10/2016,44.62
11/9/2016,45.2
11/8/2016,44.96
11/7/2016,44.88
11/4/2016,44.07
11/3/2016,44.66
11/2/2016,45.32
11/1/2016,46.66
10/31/2016,46.83
10/28/2016,48.72
10/27/2016,49.71
10/26/2016,48.75
10/25/2016,49.45
10/24/2016,50.18
10/21/2016,50.61
10/20/2016,50.31
10/19/2016,51.59
10/18/2016,50.3
10/17/2016,49.97
10/14/2016,50.35
10/13/2016,50.47
10/12/2016,50.14
10/11/2016,50.72
10/10/2016,49.76
10/7/2016,49.76
10/6/2016,50.44
10/5/2016,49.75
10/4/2016,48.67
10/3/2016,48.8
9/30/2016,47.72
9/29/2016,47.72
9/28/2016,47.07
9/27/2016,44.65
9/26/2016,45.6
9/23/2016,44.36
9/22/2016,46.1
9/21/2016,45.33
9/20/2016,43.85
9/19/2016,43.34
9/16/2016,43.04
9/15/2016,43.85
9/14/2016,43.62
9/13/2016,44.91
9/12/2016,46.28
